algorithme,taille,serie,exemplaire,temps d'exécution,revenu,rendement,maxQ
local,100,10,2,0.005892515182495117,14.0,4.625,11
local,100,10,1,0.007775306701660156,16.0,8.666666666666668,11
local,100,10,3,0.008826494216918945,20.0,9.125,15
local,100,10,4,0.008830785751342773,27.0,7.542857142857144,22
local,100,10,5,0.013317584991455078,42.0,16.044444444444444,32
local,100,10,6,0.0213773250579834,76.0,20.605555555555558,64
local,100,10,8,0.011324882507324219,50.0,10.677777777777777,43
local,100,10,7,0.017682552337646484,48.0,18.141666666666666,38
local,100,10,10,0.013543128967285156,65.0,13.263492063492063,56
local,100,10,9,0.018569231033325195,66.0,16.91111111111111,55
local,100,100,1,0.009222984313964844,140.0,10.130958980044348,101
local,100,100,2,0.010541200637817383,131.0,6.396825396825396,107
local,100,100,3,0.013264656066894531,181.0,17.394043690977355,147
local,100,100,4,0.015744447708129883,246.0,16.243686868686865,184
local,100,100,5,0.010589122772216797,317.0,8.851153860091774,268
local,100,100,6,0.013691902160644531,369.0,13.830672441191863,310
local,100,100,8,0.014795780181884766,493.0,16.6366295263838,443
local,100,100,7,0.03765583038330078,456.0,44.281915491915484,347
local,100,100,9,0.019809961318969727,550.0,22.45883020883021,455
local,100,100,10,0.022931575775146484,615.0,24.408179157935752,525
local,100,1000,1,0.009676933288574219,1416.0,40.29578831394398,1001
local,100,1000,2,0.009463071823120117,1338.0,7.821161098208782,1118
local,100,1000,4,0.009519100189208984,2386.0,6.3009326258929885,2086
local,100,1000,3,0.01058506965637207,1926.0,17.779328958504887,1553
local,100,1000,6,0.01282501220703125,3568.0,13.202593625786097,3055
local,100,1000,5,0.012977838516235352,2737.0,11.78474309475205,2221
local,100,1000,7,0.014887332916259766,3877.0,12.5777008901559,3270
local,100,1000,8,0.015690326690673828,4227.0,12.963055044455903,3736
local,100,1000,10,0.0172574520111084,5905.0,16.094296082235232,5240
local,100,1000,9,0.019911766052246094,5642.0,19.490825249323045,4734
local,1000,10,1,0.22791838645935059,71.0,26.066666666666666,54
local,1000,10,2,0.2736787796020508,131.0,26.1484126984127,111
local,1000,10,3,0.41433048248291016,194.0,40.792460317460325,163
local,1000,10,4,0.5767240524291992,256.0,49.4373015873016,218
local,1000,10,5,0.720592737197876,325.0,64.09722222222224,275
local,1000,10,6,1.4888594150543213,391.0,88.16825396825399,324
local,1000,10,7,1.5923066139221191,448.0,89.74563492063494,379
local,1000,10,8,3.1551434993743896,535.0,119.77817460317462,445
local,1000,10,9,3.790278196334839,590.0,125.45912698412702,494
local,1000,10,10,6.102274179458618,668.0,147.63968253968247,557
local,1000,100,1,0.12214875221252441,622.0,26.36853890146393,496
local,1000,100,2,0.26488471031188965,1278.0,50.342311100444654,1027
local,1000,100,3,0.3907902240753174,1824.0,71.50714689012334,1488
local,1000,100,4,0.5064692497253418,2421.0,72.68076182720135,2004
local,1000,100,5,0.6308343410491943,3022.0,76.07906528771811,2564
local,1000,100,6,0.9522416591644287,3657.0,99.09642058723833,3064
local,1000,100,7,1.6513073444366455,4129.0,155.19843957475015,3431
local,1000,100,8,2.0057473182678223,4904.0,157.22358935874595,4080
local,1000,100,9,2.120023250579834,5381.0,152.6480671983089,4525
local,1000,100,10,2.638435125350952,6016.0,146.11500139706425,5121
local,1000,1000,1,0.22081851959228516,6894.0,177.6673173143241,4960
local,1000,1000,2,0.3040504455566406,12434.0,56.86229599658229,9948
local,1000,1000,3,0.47699499130249023,18108.0,102.78863646577663,14447
local,1000,1000,4,0.6176817417144775,24667.0,102.3014882438201,20306
local,1000,1000,5,0.7538776397705078,29842.0,121.44834290238694,24862
local,1000,1000,6,1.0996692180633545,35934.0,118.60668502406361,29882
local,1000,1000,7,1.5273561477661133,41061.0,183.41033537189261,33969
local,1000,1000,8,1.53287672996521,45713.0,134.19537812095274,38205
local,1000,1000,9,2.39605712890625,53526.0,164.11891345855727,45353
local,1000,1000,10,3.007126808166504,57944.0,188.7686484804514,49097
local,10000,10,1,21.677109241485596,653.0,145.5626984126984,546
local,10000,10,2,87.80921649932861,1307.0,270.9126984126984,1100
local,10000,10,3,340.62991881370544,1957.0,426.96587301587317,1638
